id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
A1CF	5.54273620838106	5.61649455260934	5.85180994750478	5.62488374777838	5.9824681159179	3.38991197070055	5.49891366773837	5.57808050952505
A2M	8.59315413580839	9.54036945874375	9.78198015722729	9.02335263329678	9.61664098943	10.4786147954853	9.73797885502962	10.4151892571802
A4GALT	3.86247085976597	4.41086577517865	3.26940126299111	2.82718222461548	3.01890969934837	3.04169587348202	3.65555514816694	3.86533324909476
A4GNT	4.71534762111282	4.27217419615778	5.50923868897442	5.00487055984145	4.30609109466176	4.47779182071802	3.87170234424828	3.98351009273494
AAAS	5.02320752502473	3.01324144137935	3.76064136044372	4.2078699041028	4.89094385661793	5.32571707293035	4.68380740011314	3.30404165525578
AACS	5.45614524923409	6.5123119549405	6.7994739332766	6.16207322749093	5.25994382215501	5.32322726861989	5.55937194472092	5.29696852241216
AADAC	2.12626785513173	3.45907384865698	2.40704666651902	4.03196786550656	4.3478244137004	2.71427614283928	2.27838600450626	2.64752137591548
AAGAB	3.58064252809531	3.97873432691024	4.13300761767922	4.19828801234221	4.26753624930319	4.87213223778399	4.48165566007124	4.31159379021072
AAK1	5.13850572990488	5.6816928479707	5.79466725395895	4.9524053682515	4.73946627148054	4.52449727647109	4.41673311903323	5.20576994035697
AAMDC	5.93138657647999	5.26837561954302	5.46040129766733	5.30712105160543	5.5144352090365	5.53713167579497	5.15223318426224	5.51048067727815
AAMP	6.67397012323086	6.75630995360284	6.74803743178526	6.44045595360539	7.11278224867059	6.37525417041591	6.80546925380064	6.93494796891664
AANAT	2.56012313006399	2.00654119192498	2.61744113151478	1.20296606186273	1.34401941352953	1.98165995705828	2.05589444470811	1.40377436328319
AAR2	6.50433491124753	6.28680079611635	6.17123591561912	6.31698739730343	6.69072531124522	6.1685217464198	6.84319315050063	6.03337406273868
AARS	8.51044568336486	8.41118111131068	8.90430006676415	7.88980963361351	7.64635435566149	8.01913997527633	8.47638692754451	8.0682925299459
AASDHPPT	8.25250386775137	8.20135898901763	7.86314872784276	7.90609763797733	7.85702339334112	7.3110835648288	7.51740122973854	7.73877637675891
AASS	5.36642029371125	4.48813053301241	4.91041567973184	4.67695074590376	4.72831758329004	4.53464123974914	5.05887204546837	5.16735399858533
AATF	6.40121582800742	6.57287444099516	6.03825643336333	6.85535398249691	6.87203029178568	6.67531940093396	6.69537775639529	6.73546040126521
