id	GSM4092753_Control	GSM4092754_Control	GSM4092755_Control	GSM4092756_Treat	GSM4092757_Treat	GSM4092758_Treat
A1BG	4.923789	4.5247215	4.712405	5.12592933333333	5.244825	4.73692616666667
A1CF	4.115747	3.87667283333333	4.0143885	4.06505366666667	4.23371733333333	4.10617933333333
A2BP1	3.91791733333333	3.86155283333333	3.84238383333333	3.8247065	3.89702116666667	3.82304216666667
A2LD1	4.28930983333333	4.6573675	4.67329683333333	4.29348983333333	4.33573583333333	4.1125865
A2M	11.9069458333333	6.46835783333333	5.93112283333333	7.71019666666667	8.79066366666667	10.0262
A2ML1	3.7277655	3.67993816666667	3.73798416666667	3.628177	3.53340966666667	3.71220883333333
A3GALT2	3.51376483333333	3.87929733333333	3.90351966666667	3.71943216666667	3.786622	3.70075433333333
A4GALT	3.93177416666667	4.162317	4.29274833333333	4.21706366666667	4.31356916666667	4.116301
A4GNT	4.06694283333333	4.07419666666667	3.99256783333333	4.28234816666667	3.95582583333333	3.96584783333333
AAA1	3.98417533333333	4.10131533333333	4.02060733333333	4.19500066666667	4.07879116666667	3.97128033333333
AAAS	3.47210516666667	5.314121	5.69422166666667	5.152611	5.49920366666667	4.95601816666667
AACS	4.380353	4.59058566666667	4.7770215	4.69375516666667	4.54642583333333	4.48470466666667
AACSL	4.28445866666667	4.070784	4.07554766666667	3.8585115	4.20155416666667	3.94523933333333
AADAC	3.68465233333333	3.58649366666667	3.90541766666667	3.92769766666667	3.8609515	3.7088965
AADACL2	3.90048733333333	3.53159733333333	3.70575491666667	3.64985916666667	3.5316955	3.6328205
AADACL3	3.79457183333333	3.9462615	4.00992466666667	3.877624	3.97509333333333	3.98802433333333
AADACL4	3.51862816666667	3.71929083333333	3.77464316666667	3.65497433333333	3.70261816666667	3.7663315
AADAT	3.70977783333333	3.895634	3.64202233333333	4.4209525	3.74664633333333	3.9907575
AAGAB	4.31598033333333	5.57260116666667	5.6487565	6.059106	5.71247516666667	5.774389
AAK1	5.40018216666667	5.18680716666667	5.0649555	5.27529066666667	5.0893145	5.04124166666667
AAMP	6.094326	6.8105635	7.0011445	6.6814225	6.7622975	6.6502805
AANAT	4.04779083333333	3.71870366666667	3.89743283333333	3.82445183333333	3.5890955	3.59574166666667
AARS	6.77326716666667	5.92123466666667	6.61436433333333	5.52489416666667	6.53240583333333	6.23361616666667
AARS2	4.869509	4.67566366666667	4.80698883333333	5.36055466666667	4.931334	5.15049516666667
AARSD1	3.93011216666667	4.11483183333333	4.4084265	4.41126166666667	4.29964033333333	4.12495983333333
AASDH	4.50684966666667	4.85801116666667	4.60473316666667	4.42543216666667	5.13861233333333	4.56009983333333
AASDHPPT	6.75325333333333	6.98012766666667	6.80262833333333	6.79236533333333	6.79371583333333	7.07569633333333
AASS	4.80413133333333	5.26101433333333	4.33216483333333	4.29681233333333	4.76741766666667	5.03486766666667
AATF	4.67476366666667	6.085156	5.77109933333333	5.51553016666667	5.55715416666667	5.52237383333333
AATK	5.24356516666667	4.9065165	5.45983483333333	5.95240633333333	4.65476133333333	4.79698666666667
ABAT	4.33251083333333	3.97188933333333	3.96538025	3.83843333333333	4.13019533333333	3.86597866666667
ABCA1	5.8553265	4.67027516666667	4.60763866666667	5.53437133333333	5.5813555	5.5168745
ABCA10	3.69478116666667	4.50215816666667	4.05406233333333	4.93198633333333	4.61964366666667	4.43483333333333
ABCA11P	3.5039225	3.7688445	4.078393	4.11293816666667	3.7930605	3.92394216666667
ABCA12	3.69316466666667	3.60167983333333	3.78582683333333	3.82643866666667	4.01555366666667	3.91953733333333
ABCA13	3.84013883333333	3.78305683333333	3.51270233333333	3.6412865	3.93029216666667	3.83021083333333
ABCA2	4.0821435	4.3472315	4.15541916666667	4.12699233333333	4.03717316666667	3.89417766666667
ABCA3	4.65130383333333	5.59660433333333	5.38222783333333	4.27057216666667	4.040174	4.10349233333333
ABCA4	4.810223	4.0664925	4.09356716666667	3.82362433333333	3.91272383333333	3.89615583333333
ABCA5	4.12861033333333	4.63195933333333	4.07122566666667	5.316383	5.04495716666667	4.8046115
ABCA6	3.85178183333333	5.71880766666667	4.57542766666667	3.86509716666667	4.55544516666667	4.19500066666667
ABCA7	4.32809916666667	4.323476	4.12601316666667	4.79573233333333	4.33545316666667	4.3640835
ABCA8	5.124883	5.46242583333333	4.09478483333333	4.79765483333333	5.6137375	4.212329
ABCA9	4.0953395	5.01843966666667	4.059466	4.775347	4.8265415	4.26455383333333
