id	GSM758396_Control	GSM758397_Control	GSM758398_Control	GSM758399_Treat
A1BG	6.71755840075486	7.78857683376005	7.61011772615069	8.03296981413565
A1BG-AS1	4.28145131510004	5.15815287526638	5.02117866032124	4.44736389835538
A1CF	7.01846037740682	4.98380646405721	7.89951036048067	7.22550543591388
A2M	11.7494538701736	10.6799654033077	11.5887295027498	14.1405345025288
A2M-AS1	6.86779512189409	8.93239654011501	8.60393501495377	6.98405767790518
A2ML1	6.88166396117151	6.41007704198953	6.56585069913297	7.30650490454187
A2MP1	7.45701379554177	6.16421025903907	6.83767863928486	7.61850168164846
A4GALT	7.63361102228886	7.47525010134209	5.5714218252419	5.27345403360096
A4GNT	4.92398934692603	7.28501210327113	7.14252645738234	5.84558494216665
AA06	7.75734268864156	5.71833279554965	6.34059937516875	5.16822145235403
AAAS	7.63934762786853	7.57216182692442	6.40536846175485	8.00448989676596
AACS	11.0308590261125	9.27021094455045	9.56643188514354	9.54224787885657
AACSP1	6.09782361034556	6.09621821495476	5.08393708573824	2.86819984992461
AADAC	5.3336852906589	3.30892235061189	3.99521810779618	7.28317806682865
AADACL2	2.68104218726012	5.35922585440977	6.99408384072232	4.93970511337232
AADACP1	2.61443307004245	4.00753529466781	2.40812877337414	3.94766548890379
AADAT	8.8729049737073	4.75005208402566	7.37855384571125	7.6273856382454
AAED1	7.004664602	8.09008086615498	6.92291874340523	10.279679252092
AAGAB	8.03953738572065	8.39302181636878	7.17460143796842	8.37047169876929
AAK1	10.1071489286632	10.2173219486686	10.6442931817864	8.81805813543048
AAMDC	7.31032523297373	8.15662647512482	8.91161877962645	9.13825935525684
AAMP	9.89996565588751	9.72825014010595	9.42134628188406	10.144277322199
AANAT	4.02278543757202	3.71049654134352	3.3462446944117	4.10658529522962
AAR2	9.99852214589052	9.19987653908974	9.70009083738366	10.5563915799098
AARS	11.9587623616447	12.110703618635	12.2381848712655	11.3273867682157
AARS2	6.89333376978997	8.62787750703971	9.36078149555684	8.55304138793375
AASDH	8.61822816929403	9.49586087914318	9.32336773287041	9.51086306805912
AASDHPPT	11.0392232484512	11.3745884396421	11.2527758005193	11.1328702844337
AASS	7.79726112258401	7.32387148368957	6.86507750941592	9.25099422407963
AATF	10.0811947534695	10.2514263675517	10.8071398762133	10.188757440182
AATK	10.2379560584694	10.0338961376476	10.8376685067248	9.33564739721029
AB488780	10.0264800951676	9.92274170440817	10.7362771283778	9.21673075671616
ABAT	13.0966370333428	12.6976228458704	12.7767703249765	11.7941425347395
ABCA1	9.6506144050128	7.49861016096429	9.28635499572755	11.2269238654773
ABCA11P	8.3049535822448	8.6148322065536	8.22918189962377	8.50050088391686
ABCA12	3.43977370776772	5.63108459139004	5.68983803772692	6.25566814040027
ABCA13	3.93912025460558	4.46496770642137	3.71897309	5.06055541107623
ABCA17P	7.36686731696589	7.73964307565973	8.49298976788086	6.3217114852242
ABCA2	8.25432058322846	8.85447987287004	10.4654602018655	7.7817174355508
ABCA3	9.14495183879917	9.09392313352995	9.46815922813098	9.27814581479922
ABCA4	6.65131227810517	6.34315036862965	4.83546954721999	4.76664504055862
ABCA5	8.05534736579636	9.83602776803757	9.84716864695124	6.72459661253512
ABCA6	4.04742440794184	5.5742989436901	7.38260452979049	5.04959675927076
ABCA7	7.46731697520328	7.27049820988566	8.81717250953326	7.19323113464931
ABCA8	8.9288875889552	8.2679231098179	9.59239741345225	9.72470923458599
ABCA9	6.51666576988346	7.15734133731237	6.65534340076845	6.44774170919492
ABCB1	8.22385140698583	8.49957514921518	7.67666731460209	7.86189356039543
ABCB10	9.24026086122739	10.013205298797	9.45341939591029	9.63695070970887
ABCB11	3.84618186799813	5.44406649614687	4.63619675023597	5.37372180629364
ABCB4	6.86350036425342	4.08995701020761	5.34422094737358	8.16510959841285
ABCB5	4.57824869555011	6.41139861230512	5.60981422984239	5.08005992005732
ABCB6	7.87230759578325	7.07053987598923	7.3037834474063	7.60248740831657
ABCB7	8.27120868307532	8.98887993711104	8.98635640638474	9.42445053608272
ABCB8	6.984536104	7.40205885423525	8.12986275984378	6.984536104
ABCB9	8.02007465149269	7.35433650519369	7.75239641548197	6.94245200202144
ABCC1	8.73009722454829	8.55197974944023	8.24999254934399	8.84265844322633
ABCC10	9.15014576371961	8.84316558930136	9.34988946242226	8.7192803020627
ABCC11	6.21043025015065	4.56331382385737	4.71651686428676	6.3597497915171
ABCC12	5.56550076774887	6.16204368261016	5.27959066988135	5.05918019588099
ABCC13	6.15217262392796	4.71136835778986	6.13206626520456	6.31891189829853
ABCC2	4.38361893392706	5.73366980060635	3.53874099656056	3.53660563360019
ABCC3	5.64807355020378	4.86646009244084	5.29610349904553	6.00211867660398
ABCC4	6.62492374702182	6.07540326573359	6.69100206631853	7.49474308691802
ABCC5	9.78558571858674	9.55990046466339	10.336278832008	8.77452125722658
ABCC6P1	6.70512127112937	6.91436768215365	7.78306189109618	6.37033061653469
ABCC8	8.7643890510087	8.64817763427749	10.5175471561047	5.07237189839858
ABCC9	7.08559789860544	5.91517658726899	6.61396494890558	6.44910450977841
ABCD1	4.82174089209139	6.94661589297669	8.72042590259162	7.17917460349036
ABCD2	7.75702445671388	8.40182674842086	8.68859748884789	7.54560927686902
ABCD3	10.7436754098477	11.1662336680489	10.8293032815282	11.3792994361854
ABCD4	8.44998943675794	7.78406577485977	8.4924629711783	8.72718255008207
ABCE1	9.94251655386375	10.4521829810403	10.3852181613532	11.1501318866638
ABCF1	10.3609923236678	10.4169493308796	10.2435466519941	10.759085062514
ABCF2	8.6148322065536	8.76358308914892	8.41566516089433	8.90820847035499
ABCF3	9.40700873783957	8.87603388042897	8.60244072409957	8.41077220373862
ABCG1	9.10199866079535	9.19445504205319	10.3781626840744	9.16974827344241
ABCG2	9.88367586287316	10.0124713138175	9.69620760841186	8.68664301959685
ABCG4	9.0299247859766	9.39555622396869	9.58867825483716	7.86309457390308
ABCG5	4.11307874074189	2.90290811475334	3.77640009964922	4.72712234751975
ABCG8	4.86998636975618	5.08341870068645	6.30814457496516	4.75181197671147
ABHD1	6.90032582336038	7.06405173572801	6.68482659412132	7.38350914313107
ABHD10	10.3653175889579	11.1025723107199	10.7999108900398	10.3268021614118
ABHD11	7.93361585705882	7.96327525891519	8.28266769180791	7.40144128539187
ABHD12	10.4036240953393	10.4049079072701	10.6168727975397	10.6841315278139
ABHD13	7.35314155481954	8.56167238209963	7.75578375512486	9.15232410112005
ABHD14B	8.49069111685336	7.7819125751299	9.38255071783373	8.49069111685336
ABHD15	7.623905682	7.10063933667965	6.69677217923053	8.51682621751155
ABHD16A	9.32014830594273	9.66270964864703	9.5330117746583	8.60591918383455
ABHD16B	3.67702706090388	3.27629962975054	3.22052627109153	2.99142167775836
ABHD17A	12.4485305351808	12.4186683443843	12.7541477016624	11.6113403483923
ABHD17B	9.82134205369955	9.94639925834506	10.4246260430619	10.6164114469201
ABHD17C	9.85518650355859	8.58196784671323	7.54363798210769	9.26068623739668
ABHD2	9.49743651325445	9.52644238340418	9.49843943387109	9.27710719048178
ABHD3	10.2507517012257	9.93597966424738	8.94919128133971	11.2389829733441
ABHD4	9.50216140040278	8.6009678547794	9.07095922515686	9.55451435883976
ABHD5	8.42258349908365	8.85843103375554	8.12927447063107	7.82786186327614
ABHD6	9.87419513886277	9.75696200346127	10.2269731398892	9.59356955684122
ABHD8	8.97436861781548	9.51248611896285	9.28129806866731	6.27168299823721
ABI1	10.9263845305335	10.3433519363997	9.96947258921334	10.8586451257245
ABI2	11.0945724296139	10.9764996165208	10.9987621822337	10.6254775163458
ABI3	8.48921397107173	8.32383828405243	9.12940773711668	8.30528428544734
ABI3BP	7.77409788926229	6.67420029080466	7.39241686371164	9.50663574660455
ABL1	10.4306298203515	9.00279858783266	10.1638692690583	10.8748889662989
ABL2	8.85577752579619	9.03625162204797	9.1846089951784	9.0299247859766
ABLIM1	11.7088462951485	13.5313857899658	13.7498540803444	10.5534982287002
ABLIM2	7.95788804198281	7.63221700827563	7.14607549298602	7.02823604564489
ABLIM3	8.82815828315803	9.62128762764503	10.7956629689949	5.87313678797654
ABO	7.53368648330583	5.34422094737358	6.796745202	5.58398188944618
ABR	11.6351373784978	9.64275213610041	9.72793581798737	10.2865984898555
ABRA	5.03899607858025	5.76856124377047	3.97730962110815	3.95197041133941
ABRACL	9.13306720631277	8.25601728139243	3.68586713244402	10.0976703557907
ABT1	8.30354894320144	9.04064955945968	8.6675656798509	9.12331402090055
ABTB1	5.24547663153066	7.87752313747431	7.56343312171165	6.60230324773235
ABTB2	6.63106091258791	8.09066636038585	8.10399312113472	7.61239950678704
AC000111.3	2.41327499648476	4.32684569415322	3.47654748333479	2.95042555498075
AC002059.10	7.67367933528254	7.0470682727029	7.51829136117254	7.28842341803569
AC002064.5	5.61112132524544	3.91065518702031	6.03013898989068	7.37363425156484
AC003973.4	3.9757306945913	3.88507643473369	3.20204128465336	4.46269227893884
AC003989.4	4.88482692305055	4.01585446419542	4.64912075819851	5.94338433624423
AC004692.5	9.08411779930899	8.03953738572065	8.63015491006769	9.25110661497388
AC004941.5	5.37973180548378	8.41127189425813	6.50091661240383	8.620293721
AC005162.4	5.67272100704229	4.65751741581936	4.37118155625642	6.51548653054433
AC005224.2	6.94161361523181	8.4526351081318	8.12262743658277	6.99660315672094
AC005256.1	4.86564037241883	4.32517385832418	6.31410638461824	4.41549843620631
AC005306.3	7.50510195849525	6.81625822597567	5.26714965925104	3.96981794136346
AC005498.3	7.12677429890123	6.89801075062527	6.80228324257002	6.99216018945997
AC005523.2	7.29590560609529	7.85615876668624	8.20718387191053	8.58168046367038
AC005523.3	3.70331545793853	7.7765612876648	6.89351182428183	3.80187629569925
AC005537.2	3.65570770434849	3.79181406112843	4.88995702754681	6.4987735952934
AC005592.3	6.64469296532584	6.70583476889245	7.03654311207261	6.94517874960754
AC005606.14	3.58109699933961	6.30279201508637	6.21424481300067	2.89250569628087
AC005785.2	8.15356793674619	6.98960089358985	8.16282665210567	7.43605716303822
AC005838.2	7.51137719855539	3.59619054299187	7.01146027560557	4.02042882377098
AC006026.13	6.75754452644524	7.53548328561223	8.5156482602738	4.63570327388352
AC006129.2	3.72039234051018	3.46761769784883	3.52051473710895	5.2444408269642
AC006538.1	6.20723991370471	7.30461975268806	7.2975666866262	4.33145057785381
AC007292.3	6.46863108606527	5.35242695882393	7.23862866186399	6.43821271278195
AC007349.5	6.44180754829819	4.63771339689128	6.25078534830982	3.10264582015067
AC007362.3	6.06689660758334	5.2623745086989	5.65685285427447	5.19943913543131
AC007365.3	7.67293189081092	7.1537508510305	8.0160252568298	7.95071193135768
AC007389.3	6.58041345742819	7.64133087935619	6.90297649006115	6.66804781919508
AC007401.2	5.77401506880261	5.90934764853984	4.12767944199781	3.2530990430611
AC007680.2	6.55017810773212	5.58636139044262	3.17531060629079	4.52145039490943
AC007787.2	4.20898583723522	4.01287277078155	5.15367652119616	4.16823625071028
AC008088.4	4.90185566756831	7.04879484267354	7.32878132600588	3.02009481415902
AC008746.12	4.2996458575629	3.11060375543976	4.55815730221365	5.03855925886808
AC008753.4	7.79410857241899	7.23590543887572	7.51268943961789	6.37561134614507
AC009120.6	7.82166407831367	7.72431989032711	8.38012050091783	8.49754482352449
AC009133.15	6.6505761330446	8.04021962551477	6.68043980757692	7.29433752731347
AC009502.4	8.74673878570541	7.2101083207069	7.43573142428448	6.6435668334612
AC010145.4	5.09054291872134	4.43815407548968	4.20567601040205	6.49606022121939
AC010524.4	8.35552921837939	8.23546094158285	9.36927283221299	6.80772833490277
AC012065.7	8.60338164078427	8.25616327620808	7.11745258091255	8.45031669340569
AC012360.6	6.62604267726557	7.09205580262096	6.96625486585404	6.64497888498571
AC012499.1	4.20083315189772	6.9058829255237	5.7852830317681	6.06240057221351
AC012531.25	5.65810208500294	4.94735328000755	5.00452057796579	4.9536686762989
AC013463.2	6.08935168508388	6.73514127454777	7.77229826745195	5.62197066508226
AC013733.4	4.16045384492841	3.95606333390307	3.36376798362426	2.57733429716537
AC016831.7	6.79008449371353	5.6876215683437	4.21263060696298	7.16263553346279
AC016999.2	4.87578819872699	4.91207470616285	8.36137717487775	5.01231257493755
AC017002.2	4.55601209577144	4.79347986272195	7.44712797972096	7.44928541509123
AC017104.6	5.22791341051961	5.8057265117597	7.58834048407745	5.03751037679029
AC018755.16	8.34116045735215	8.23739790410766	4.06687937888225	8.03166699091534
AC018755.17	6.73236396628924	4.98674869595925	6.08015765780573	1.85034295993433
AC018766.6	4.27241632967256	5.48233116156628	4.35156957243607	3.68675585522904
AC018816.3	5.46699781302065	6.83871710439514	6.38042522574914	6.38831194130843
AC024560.2	7.95241928728034	5.01850774519643	7.28385841634711	6.67653427923145
AC025442.3	6.80989203192018	5.91327154913298	6.67952185558886	5.61782591342985
AC064852.4	7.21847846586657	4.44216170624045	7.19705629241278	4.3185604643168
AC067956.1	6.58165380148411	2.45164102441611	2.8571508310302	6.57884191081055
AC068039.4	4.58825838979448	7.36931799160822	5.66371256326202	6.78266133734121
AC068138.1	8.91045830173784	7.02373715999002	6.75842514956412	8.03909582708531
AC068831.3	7.24471339693359	5.92258005434052	6.60701772958272	3.78981183298227
AC073283.7	5.00712539227148	3.95056687510537	8.05260884863523	7.32914828798875
AC073321.4	8.58288163186731	7.16162052181361	7.86730675807932	7.2860234898862
AC074212.6	6.58288921096078	6.25195568898241	6.69368775938832	5.39894987254682
AC079305.10	6.91900705510179	6.82149844304044	4.38582136869877	7.89915954018281
AC079741.2	7.04238317373878	6.2856525231743	4.12434006053479	6.78039235235775
AC079767.4	5.82892278708995	6.63325274215225	7.10675757837788	6.87142319606421
AC079807.4	6.07861036738004	4.25791256512691	6.48730233154872	4.75325650516672
AC083843.1	5.65289945157325	5.86365774248051	6.9057032551292	7.40765901099021
AC083949.1	3.29018501094482	3.78298465419371	4.74837828501157	6.27827167257779
AC084219.3	6.37230544561602	7.22417729531742	3.83965223694576	2.44184388870156
AC087501.1	5.97927309767986	4.95850036032972	6.57619167085862	4.1986488191897
AC090627.1	6.86150978994759	3.38709308824224	3.71815941930808	4.93819182957527
AC091133.1	8.55037416068859	9.380648813	9.86257281393288	8.93311442364863
AC091633.3	5.84812366480829	6.12801631228911	2.94098164826338	5.51163931839798
AC092192.1	7.20990004891935	6.61557121532067	6.18146342424291	7.79624137427023
AC092620.2	7.70225744196308	6.85954313230629	8.51192069181895	7.02174867646646
AC092660.1	7.83972836219109	7.25597032803496	6.25097046075457	7.84241625688943
AC092667.2	5.99545344625502	6.88581931872491	2.67585142573478	6.97179649868357
AC100830.4	6.68026670587439	6.77422624161896	4.21062021834917	7.47335107425384
AC104667.3	5.41701887639858	3.86518598953032	4.00520879298964	4.49485502027235
AC106801.1	4.59872898343279	6.40009492728203	6.80665079430712	7.73874076617825
AC108056.1	4.29067884892978	4.46904533681251	6.66471116280437	4.30860545510797
AC112198.1	5.24691040403915	4.82699236646933	6.30167166995023	6.5281672138438
AC114730.11	3.1761432394269	4.47314107889545	3.87106742543969	4.40254663833014
